nickname;blurb
:);JUSTICE FOR JHONNY DEPP!!!!!
Telma Martins;Johnny is the victm... we stand for Johnny
Esmeralda;And Johnny lost everything
The Fallen One;Cancel Disney plus for Johnny.
Stephanie L;Jason Mammo blames amber for his divorce
Cyndi Carter;I volunteer as Johnny Depps newest baby momma!
Starleen;JOHNNY  IS A GOOD MAN!!!
Jennifer Holdstock;Girl you literally got to keep your jobs while Johnny lost all of his
leannasmithr;Even Jason Momoa is team Johnny.  That should tell you something
Susan Lawson;Proof please, irrefutable proof please . You shouldn’t be allowed to keep a part Johnny got you.
lisa_emilieee;Don’t support those who cut Johnny off!!!!
M;PLEASE NO MORE AMBER IN AQUAMAN 2
tatiweldon;NEVER HEARD ABOUT AMBER TILL NOW
Gaya;And Johnny … loose opportunity top
noleavemyshoealone;she only got that part because Johnny Depp helped her get it because she is a terrible actress!!!
lisa_emilieee;Don’t support those who cut Johnny off!!!!
jessiethe1993capricorn;JOHNNY LOST HIS MOVIE, YOU WERE THERE
Melanie;She ruined Johnny’s career so what?!
Cheryl Sloop- Harrin;You hurt Johnny. This will come back and hunt you. Your on jealous women
arlyeacevedo;Johnny lost a lot and more jobs
Edward;Petition to revoke Amber from Aquaman 2
lisa_emilieee;Don’t support those who cut Johnny off!!!!
Mrs grinch;amber is a liar and a manipulator that’s all there is to it
S_girl123;you only got it because of Johnny
Maisy x;Amber heard Johnny has in dept
SnS247;Bissshh nexxxxxt amber whoo ????
Fathi Ali;she is pretty but she has a dark soul #justiceforJohnnydep
x;while johnny had nothing
caylenaa;You were in aqua man tho. Johnny lost pirates role
Lola;Seee this woman don’t realise that Johnny made her who she’s is lol
JLGerman077;L’s in the chat for Amber everyone
RJ;You only got that job because of Johnny !!!!
Trish;and johnny lost everything at least you kept ur jobs
Shadow Baxter;Justice for Johnny depp
manaarmae20;YOU MADE JOHNNY LOOSE HIS ROLLS AND OPPORTUNITIES HE HAD. FOH
Ang;She didn’t ruin johnnys career
Pinkstar;It’s poor you amber own up to your shot
lisa_emilieee;Don’t support those who cut Johnny off!!!!
nazirarahim18;Gurl no one even know who u are before Johnny
user9375811839569;People saying Team Amber voted for Biden
i_am_maggie;Are the ones that say Team Amber okay?
BrindleFur_wcue;I heard Johnny might lose the case
“The Name Is Mommy”;Johnny done 20 bigtime movies your nothing !
Samantha B.;You kept it because of Johnny Depp
Nanci Veronica;We lost Johnny as Grindewald! Amber is a terrible actress and made Aquaman uncomfortable.
lisa_emilieee;Don’t support those who cut Johnny off!!!!
Sherry Jimmy389;lire johnny got you that job
• shiraomary •;can we see johnny on the stand already
user7129475430515;Her movie career was NOTHING. No one has ever heard of Amber. Dating  famous Johnny was her ticket
Dano1923;how you think Johnny feels being captain Jack sparrow
Jenny;Johnny got the aqua man gif for her lol
Marie-Claude Thériau;Cancel Amber from Aquaman
Leilani Perez;PETITION FOR AMBER OFF AQUAMAN
liesbeth079;but Johnny lost pirates
Hayson Dudik961;I want to see Johnny not her
Mia Patsatsia;because you johnny dropped out from pirates of the Caribbean
apinkphoenix;#JUSTICEFORJOHNNYDEPP
Peyton;Nah so Johnny loses he job but amber doesn’t nah not right
Matina;Johnny lost pirates too
Ashton;johnny got you the aquaman job
Deonte Short190;My dog stepped on amber
Mikaela;What about money and jobs Johnny has lost
Lizbette Ramos762;I hope they drop her like they did to Johnny
Noah;I walked out of the bedroom he slaps me across the face so I turn to look at him and I say Johnny
Yozora Caelum;Take the children away from her & give Johnny back his role in fantastic beasts
Ntrudnos;If weren’t for Johnny she would’ve never got the Aquaman parked she’s a liar
Fwix;JOHNNY DEPP GOT HER AQUAMAN SHE IS NOTBING WITHOUT HIM
Blueeee;No money once Johnny once took his money away
M;NO MORE AMBER IN AQUAMAN. JUSTICE FOR JOHNNY
christabelmothi;u only got that coz of johnny
user7129475430515;Aquaman was not successful because of Amber, it was because of Jason Momoa.
Chloegeorgeson;What does Johnny side get to question her??
yoandrajacquire;why must you talk about aquaman??? talk about how she abused Johnny Depp
Emily Swarek;She blasted Johnny just before aquaman
LakZa;Johnny stayed with sparrow cause he can’t get other roles
Ladygene;cancel Amber aqua man
Maze Violet;And when was Johnny supposed to be fantastic beast amber?
Yabba Dabba;Johnny just swings through the set he gets presents. Poor Elon sweety little nerd
Cinthia Fariña1313;FUERZA JOHNNY ACABA CON ESA BRUJA
x;johnny lost the grindelwald. oh pls THATS WAY BETTER THAN YOUR CAREER
Cody Oliveira;Johnny should have just called saul
HelloCwish;Where is all the money from the film that you donated amber?
calvin tan;A career which Johnny landed you
uh.kaylee.ig;Johnny deserves so much better
Eriixa__;A career she never had till Johnny came in the pic lol you don’t lose something you never had!
GingersCards;Give me my hat Johnny…. Aquaman
Glitzyglassdesign LS;jason supports johnny
elainevargasj;The role Johnny got you? Girl…
Wendy;Johnny should be in jail... facts
KirstyK705;Mamoa had something to do with it not Amber
ChiCher ChaChii;Your lost is 1% when compared with what Johnny lost
Joseph Monaghan;JONNY DEPP-JACK SPERROW
arei_ramkissoon;Amber stepped on a bee
Aida_cxo;Depp is the besttttttt
BigBadWolf;They have asked her questions for days and only asked Johnny for what one day?
Trish;Wow. It made a major hit on your life, what about what you did on johnny’s career
Virginia ;JUSTICE FOR JOHNNY DEPP
Vinnyblue;Cash app $vincentdelmaro team Johnny
bitty_blue;transparent Amber we see right through you
Sarah G;@onlyrior JOHNNY IS A GEMINI HON.  NOTHING TOXIC ABOUT HIM
christen  south;Justice for Johnny depp
she/they;JUSTICE FOR JONNY DEPP
Kali F;Johnny you goin to jail
SirenSoul;Only because of Johnny
user7129475430515;Jason Mamoa made Aquaman successful. No one watched it to see Amber.
soulisticspirit;amber misusing her time
Melanie Metts;Johnny looks like he’s about to fall asleep lol
Kaila Loud;Johnny tired of thisHoe
EC;Amber looking like spoc from Star Trek
kaitlin ;Wgat happens is johnny wina?
SnowDog2021;Johnny’s doing Sudoku
Suzanne Coogan;Whoever is a team amber, should be punched in the head!!!!
Dodat Stuff;She wanted to hurt Johnny
Hunger games big fan;JOHNNY YOU GO GIRL MaTiRiOl GiRl
Ashton;AMBER YOU ARE NOT A VICTIM
Mario Etcheverry;#JusticeForJohnnydepp
user3089798814775;johnny is reading these comments on tik tok right now. lol
AT1LA;Wer mag amber oder jonny????
Deja;Johnny is over it lol
Keyla Bereka;@hayden5550:team amber... bro you just keep rooting for abusers then... look a bit into the whole th
im_sierra123;Didn’t they already prove she did mention Johnny in the op Ed
melissadurfey537;justice for Johnny Depp, he has been amazing
juan angel salcido acosta;johnny is loosing time
tatiana;lies. lies. lies. there was a draft of her op-ed where she initially mentioned Johnny
The Problem Child;Amber for sure Cappin
blufox;AMBER BABY..... JUST STOP CHILE
cyn;gender issues. hmmmm so what about you saying nobody would believe johnny
Tiffany Hunter;So she dragged Johnny to get more popular
Cameron Smith;GROWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWW I SUPPORT JOHNNY
its.your.girl.Aisha.;I love love love johnny
elainevargasj;And what a disgrace you were amber
Ray;All these fatherless ppl saying team amber should get a reality check
Otaku.bri;$brianacelestee $1 for TEAM JOHNNY
B.V.E.F;Amber ching4 tu madr3 >:(
carinaaa_lopezz;Hope Johnny draws her as a joke lol
That_one_girl_nessa;This is all for attention her description of “happened” to her is what she did to Johnny
Keyla Bereka;TEAM AMBER TEAM JHONNY
user3853663525526;boooooo amber booooooo
Ms_Indy_J;No one respects you amber
Rebelball21;@toryanii setting up Johnny. Hence why she kept having him over after she got that
Zainab;Who here actually supports Amber?
Sierra.frailey;$sierrafrailey for team Johnny!
eli rodriguez;team Johnny Depp $eliirod
s;The article was not about gender issue haha it was abour you hating on Johnny
Ipad.x.journey;The only movie she was in was aqua man and Johnny dell was in more than 50 how is she good then
yoselyn;LMFAOOOA NOT JOHNNY SLEEPING
bacon potato;"no ones gonna believe you johnny"
AprilMayJuneJuly;So she DID direct it towards Johnny…so she LIED
appleuser24244963;@user076478521 Donate to Johnny! $Tevinsatwork
Dean_0772;Johnny is not sleeping he is purposely not looking at her. She will fake a cry
satanic;I know where amber lives
Miranda Rasmussen;NOTICE HER OUTFITS THIS WEEEEK SHE WILL COPY JOHNNYS FIT TODAY FOR COURT TMRW. ALL WEEK
xo.stef;@brightbeauty0 justice for johnny
IM BACK FAIRY GANG!!!;Justice for Johnny!!!
Stacey;I’ll come back when Johnny is on
Grace Searles;Team Johnny Cashapp $GreySeaGraceCSearles
wow;i said johnny u hit me, u just hit me
user3089798814775;amber needs to fire her team.
jellybean202999;Stop demonizing amber… both did horrible things
thiya;mba amber ga capek apa mba, saya liat ini seliweran di tiktok saya mulu aja capek
kyleigh1;she should lose everything johnny has and more
Danielle Laïda;SHES BEEN ABUSIVE IN EVERY RELATIONSHIP.... JOHNNY NEVER HAS... CASE CLOSED
Miranda Rasmussen;NOTICE HER OUTFITS THIS WEEEEK SHE WILL COPY JOHNNYS FIT TODAY FOR COURT TMRW. ALL WEEK
Kaleigh;Johnnys lawyer is so ready
Ray;All these fatherless ppl saying team amber should get a reality check
Randi;if she used the joint statement in the divorcee papers as "proof" that her and johnny agreed there. was no abuse or physical violence-why write oped?
Morcan Text;Yea, it does, Amber. We all know that helps. Stop lying. Stop pretending Hollywood is above that
M e r cZ;Amber shhhhhhhhhhhhhh
Vickyy;Wen is Johnny lawyer gonna questions her
Lisa-Vee;amber how is your dog
sbxbeautyxx;TEAM AMBER LOL LOL LOL
Danielle Laïda;SHES BEEN ABUSIVE IN EVERY RELATIONSHIP.... JOHNNY NEVER HAS... CASE CLOSED
lina;Notice how everybody believes Johnny even tho the men always get blamed, that has to mean something
Janet Kelvin Myatt;Team Johnny-is innocent
user397000577386;Her dog stepped on a bee so she must be innocent #teamjohnny
user9556481818593;Bees should sue Amber
Kayden;is Jhonny Depp the guy from sonic the hedgehog?
johanna?;she has more screen time than johnny!!! Whyyyy
LeAnn Dotson;its clear the victim. Amber keeps looking towards Johnny and Johnny refuses to look up
Chicharitofreefire;a que hora enfocan a johnny
Johnna;she wrote the editorial with the understanding that it would have a negative impact on Depps career
Roxane s;When are Johnny’s lawyers be able to ask her questions ?
_1candycrush_;Johnny is an Alkohol Addict He promise a marrige He cant have
Marie Bressy;Amber personnes ne te crois
Megan;How did the media know amber?????
Ohbrii;@teenageangst2 yes this is to clear johnnys name since he’s lost multiple opportunities from her lie
Emily Aylmer;her and her lawyer talking is boring bring in johnny and his lawyers asking her questions
http.lemon.tea;I’d rather see Johnny’s drawing
Brittany Westby;5 million is nothing to Johnny, he just wants to win :)
user6328847461101;So the op-Ed was about Johnny Depp. She just admitted.
Destiny Fairweather;Johnny is playing on his phone
user7129475430515;Do a lie test AMBER you liar
jaden wieser;okay she loses by proving she was mentioning johnny in the op ed
Morgan Fortay;“Johnny Depo supporters” lmao so everyone
user798318893021;dus ging wel overjohnny
Emma;Is this ambers lawyer
Janette Pham;Johnny is so angry and misdirected. Wrongfully sued Amber. So happy she’s countersuing.
user938576437;@imnotyourmommie she got a restraining order but kept trying to set up times to see Johnny?????
Charlyn Paisley;We don’t like liars Amber
trinitybrown3057;I didn’t even know who amber was until this happened
SweetlyAliyahxo;Cashapp me if you love Johnny £sweetsashaxo
Leilani Perez;PETITION FOR AMBER OFF AQUAMAN
Emilio;We believe you, Johnny!
Kayjay;O just you speaking out against Johnny with lies.
SweetlyAliyahxo;Cashapp me if you love Johnny £sweetsashaxo
Jess<3 (taylors version);amber made a pooopeee
Kia;Betrayal from me. I never knew you until you married Johnny.
kayandrea;yes I am a Johnny Depp supporter
SweetlyAliyahxo;Cashapp me if you love Johnny £sweetsashaxo
Rebecca Bogdan;JoHnnY dEpp sUppOrters
christinekraychy;You are delusional Amber- Don’t have to like Johnny to see & hear you are a liar
BrindleFur_wcue;Bro that paragraph just proves Johnny was right!
Saartje & Pleuntje;SOMEONE SAID POOR AMBER
User1;Didn’t amber got arrested for DV
SLS89;so she admits it was about johnny...
youdontknowmemateyboyyy;is it johhnys lawyer that’s asking the questions or ambers lawyer???
Roblox girl;When she faked cried and it was Johnny’s go to talk amber smiled and Johnny
Barbara;#JusticeForJohhnyDepp #JusticeForJohhnyDepp #JusticeForJohhnyDepp #JusticeForJohnnyDepp
Carmen Guerrero;Amber no one believes you
raising.wildlings_;When will Johnny’s lawyers cross examine her
C.J.V.J;Get her away put Johnny there no one is interested in her lies
Kia;Always been team Johnny
SweetlyAliyahxo;Cashapp me if you love Johnny £sweetsashaxo
Gio / axel <3.;if women get their rights taken away, its women like amber heards fault.
chloe foster x x x;When’s Johnny’s side gonna start questioning her
Jasmin Alexandra;Aquaman without Amber is the best Aquaman ever
marina <3;LURIDA AMBER MA ACCIRT
Lora Gifford;Johnny got a jar of muffins!
MizzHBIC;Johnny depp supporters aren’t retaliation. They are supporting him because your caught in lies.
user3952249470454;team Johnny its my sons bday donate $cdywst
Sad/motivation;1CHANEL0 cashapp me to free Johnny
:);WHEN IS IT GOING TO JOHNNY TIME
Neekityneek Fam;how did it get worse amber? up until this trial ppl sided w/you. are you on social media during this
Your Mother739;amber supporters taking the L on this one
Lindsey;BRO ALL COMPANIES DROPPED DEPP
Summer Kohrs;the fact people think that Amber is telling the truth is a great joke.
Rhonda Baker;She previously said it wasn’t about Johnny Depp… that it was written in general
user8607712401688;johnny works for them, u were on his coat tails, your a nobody
emily.grace;It sounds like Johnny drove her crazy
Sad/motivation;1CHANEL0 cashapp me to free Johnny
Liam James199;Come on Johnny, you got this.
Tuu.Tone;You had no proof, Amber. Thats why you’re here still with no proof to back any of your accusations.
Melanie;You used Botox bruises as bruises from Johnny dude quit lying!!!!!
Ally;@david.rl0417 domestic abuse. Plaintiff is amber heard, defendant is Jonny depp
liberty;I want a video of Jonny depp doing this
Jess<3 (taylors version);amber made a piiopeee
FlippityDooDah;Once again your just admitted you were referring to Depp
Sad/motivation;1CHANEL0 cashapp me to free Johnny
duha3579;JUSTICE FOR JOHNNY!!!!! PERIODDDDDD
user6415158536040;there is a difference between telling the truth and a liar and Amber u are a liar
No Name;Does Johnny buy his suits from overweight old men?
quit.;SLAY JOHNNYS LAWYER HEARSAY :)
Rio;ima like the vid when Johnny is onscreen
AzIrReHc_EaM23;People that’s team amber YALL living in your guys lies too just like how amber is living her lies
emilyt32608;“SHE DID IT FOR JOHNNY!”
Sad/motivation;1CHANEL0 cashapp me to free Johnny
Jerome Deofiles;amber heard is innocent
Summer Kohrs;Amber supporters are a GREAT JOKE
MeinerEiner;crazy soul Miss Amber
juliesorokowski2;You should get fired amber
Lucy C;Wait, they fired Johnny and kept Amber .
Sad/motivation;1CHANEL0 cashapp me to free Johnny
Freyakristine;They supported Johnny? He lost almost all of his contracts
RJ;Do you mean Johnny’s punched face
little Ozzy lover9;Amber is Guilty Amber is Guilty
itsjess_lynnn;You barely have anything to show you were abused but Johnny has a ton
user3952249470454;team Johnny its my sons bday donate $cdywst
@demiS;HOW LONG WAS AMBER AND JONNY MARRIED FOR ?
chloee.684;I swear johnny is sleeping
Decy;She’s only saying I almost lost my job for pity bc Johnny lost his
Maya;Riiiight that’s why Johnny has been blacklisted
Mandy;She is such a liar and a nut case. Justice for Johnny!
phillipomeley;That was true Johnny’s Security guard manipulated her  to get her out of Australia ASAP
Lindsey;depp lost all companies though, you didn’t
amanda__jim;thought the op ed wasn’t about johnny at all ?????
user1877605360326;WHAT DID YOU DO AMBER
user3952249470454;team Johnny its my sons bday donate $cdywst
Trayvon;Hmmmm king like the sun did to Johnny huh
noleavemyshoealone;Johnny lost everything! she got enough to pay someone to have her friggin baby
Ericah Sharp;and yet so was Johnny ??
Tay Dum;so the same thing you’re doing to johnny
Yazmin Calixto;That happened to Johnny
Y by ybu;to the  person that said amber is cute u are a liar
kvothethebloodless7;JOHNNY IS THE VICTIM. SHE NEEDS TO GIVE IT UP
Eisel Shane Bonode;amber heard do you hear me
user3952249470454;team Johnny its my sons bday donate $cdywst
elainevargasj;“Johnny your hit me!” “I protected Johnny!”
user1167090439585;Let the monster out Amber!
whereisurdad;justice for jhonny depp and the bee
Michelle Nieuwenhuizen;why did u not clean the carpet Amber???
.;Amber you know you can act better than that child
Lyndsey;Johnny wasn’t even there
nuumzugucken;Depp Depp Depp Jonny deep deep
user7129475430515;Because you planned it Amber everything your words are false
alysha.peacock1977;See how she stared at him when she said she was protecting Johnny as if she is trying to brainwash
Army986;protect Johnny for what ??
Diane Wainwright277;Amber you’ve been Heard now stop lying
Cat Fam.;i already picture Amber as a OINTB part 2 star
mohammedelkaml288;i think Johnny Depp already won
Ash~;o que acontece se ela realmente está dizendo a verdade? Idk but i love mr.depp
alanys;“i protected johnny” but after the day of said incident she announced it to his friends
WickedFaleenaLeatherCo;They let her talk for minutes but not Johnny
TimothéeChalamet;NOBODY BELIEVES YPU AMBER
Jodie L M;Now she knows how Johnny feels
s;She is a narcissist #justiceforjohnnydepp
Devon Pearl;Her lawyers should be nervous that depp’s lawyers are just letting her prattle on
Florence Olivares;You guys are making Amber win
jazzy;Johnny Depp is innocent!!!!!!!!
Water;2023 Leading female oscar nominee: AMBER HEARD
s;Scamber try harder to cry, you can do it, 3rd time is a charm
Ryan;Damn that’s crazy, what’s Ambers OF?
Adi;Why does she keep calling himJOHNNY
Atiya Essack;I-I-I wanted t-to p-p-protect j-j-Johnny
Shawna McMurray;If johnnys lawyers end up dead, we know who it was lol
veritycollier;get away with what Amber
user7129475430515;That is the truth that Amber lied and continues to lie
Nemesismaximus;Johnny… release the kraken!!!!! Man
Water;2023 Leading female oscar nominee: AMBER HEARD
Clairissa_taylor;You mean Johnny survived it
secret7271;amber you know if your lying your nose gets bigger
Franzi;because because bla bla amber
Mike_oxlong;Hey Amber, where’s your dad at?
Tammy Wilson;When does johnnys attorney get to cross examine
bigOhlPal;She wasted Johnnys time
Rocio Flores;johnny is the one that survived it
Silvia ugoeze;people supporting amber... have not gone through abuse...
TaniaMac;The Australia recordings are on YouTube!!! You can hear her saying she was sorry to Johnny!!!
Natalie Davis;Johnny survived not you
Jordan Stevens653;JOHNNY lived through this
hughesdonna313;He is the victim Amber not you
anti de;justice for amber heard
B_M;Protect Johnny???? Set him up! Those photos of so called bruises… can’t watch this lying woman
yuri on ice fan acct;GIRL NO ONE KNOWS YOU APART FROM JOHNNY
ye I post wheneveyi have time;EVERYONE SAY LOL IF U SUPPORT JOHNNY
Cortney;johnnys lawyer is focused
Misty;SHE GOT AQUA BC OF JOHNNY
Allie;I love Johnny’s legal team
Daisy;JUSTIS FOR AMBER HEARD
Teesha Lyn-Marie;Johnny isnt even paying attention lol
Hayley;Johnny just be looking down and not caring
meghan audet;wonder what johnny is drawing today
Casey Morrison;Never even heard of amber heard…
lighty916 ;What reputation. You weren’t known until Johnny
danicasmith022;johnnys lawyers not pulling any punches now
midsommarvvitch;amber really has terrible lawyers. elle woods would never have so many objections
iar_snow;When is johnnys team doing the cross examination?
Kathryn;She got her roles thanks to Johnny
lyexluh;Johnnys lawyers know they’re good
Nardali;Is johnny’s lawyer sayinf objection?
user4890903130139;Yo who said team amber kick that person out
Craftin2healcreations;what. is Johnny doing??
Firdaus Anuar;We stand for you Jonny depp
cutie_0899;When is johnnys lawyer going to rip her apart
KirstyK705;I didn’t know Johnny was married until this came about.
B;What is Johnny doing??
ye I post wheneveyi have time;EVERYONE SAY LOL IF U SUPPORT JOHNNY
maya;keep it at johnny pls my eyes hurt
2beautiful_1;Johnnys lawyer ate dope asf and are over her
Cassandra GONZALEZ;Have they cross examined Johnny from her legal team ?
Rebekah_____1426;Hahahaha I love Johnny’s team
caseyyyyy:);I can see amber supporters-
User Sammy;I made a 700000 view video on amber
muslim sigma;Johnny made more than 90moveis she has 1-5 what work
HappierWithYou;Look they show us Johnny
B;She dated Elon who she cheated on Johnny with
Edie Mooney;What reputation - no real public reputation until Johnny
DeJeukendeEend;destroy them amber!!!!
Bexx;Even Johnny’s lawyers look fed up
JadeGina17;Team Johnny all the way
2008_aiden_bmx;my dog stepped on a bee 123 i got beat by Johnny
M.Jaeger7;Dust off JD laptop like Ambers
BreeP17;Lol johnnys team is so unbothered
Hrdz;One behind the guy to the right of Johnny kinda bad
BeeBeee;Lmao so you were flourishing mean while Johnny wasn’t
Naomi Gutierrez;my daughter had an accident in her bed and blamed it on amber
Jeanette Renken;It’s Johnny doing for anything she did.
Shiela_958;@caitlin_amber_ the jury
Joyce;No one of us can judge Amber but we all know she’s lying
courtneyboulds;But Johnny did so much charity work
Amanda;Johnny’s lawyers are so irritated.
Amelia Buman;Yes just keep the cams on Johnny pls. I want a side by side
Angie Affinity Horse;Team Johnny all the way you’re full of it lady
johnny36451;Amber has officially changed her name to Billy bullcrap
Beesje Freek;Stepped on a bee, and the winner is johnnyyyyy
Glo;I wish I can hear johnnys thoughts
Nicola Amy;Johnny was dropped from Fantastic Beasts!!! while you were doing aquamarine 2!
Ylva_MS;why is everone supporting johnny
woelliee;noen knew about you before you met johnny
Leonor Marcillo;justicia para Johnny Deep
wendigo0981;Amber dnt step on a bee
.;She’s obsessed with JOHNNY
Joanne Burnham;and what could Johnny do
Bladder;Johnny should win Amber heard is the abuser
avanroosmalen;karma is on the way Amber.
Daisy;WHY DO YALL HATE AMBER
TURKEYTHECHOWSKY;Why do you think she’s lying but Johnny is being honest?
Jennifer Guevara;Johnny got her Aquaman no?
huera713;funny how she doesn’t stutter like crazy when talking about herself but when she talks bout johnny..
Sam;Never knew you before Johnny
Crystalla;Good for you, Johnny wasn’t working because of the lies you told!
Doreen Marino;What’s the remove Amber heard number today???
user6233481908588;Amber, God will show you mercy
Brooklynn;lol Amber you silly silly girl
audrey.flores;Can someone tell me the titles of the people around Johnny ?
.;amber will never be heard xxxx
darrshanshan2;tap like for johnny depp
atouchofclass;Johnny is doodling he has no concern for this trial at all not his reputation not anything
juicymorse;Team Johnny!  He knows he’s lived and no one buys it!  Has she even had 1 good act?  Success, haha
DonGi -;We don’t wanna see amber heard
albertaevents;WHAT ABOUT DEPPS REPUTATION HIS FINANCIAL STATE
Alison;No cap justice for that bed & Johnny
Sissy;johnny got you that part LIAR
Whatsupterry;I love amber heard baby
darrshanshan2;tap like for johnny depp
samantha;Johnny still loves her
Taterbudd2669;#Amber Heard is a psycopath
it is what it was;He got her Aquaman if it wasn’t for Johnny
sherrington94;Sounds like she was successful unlike the position she put Johnny in
Leslie;You would have never got aquaman if it wasn’t for Johnny
Morgan Fortay;All bc of johnny tho……
darrshanshan2;tap like for johnny depp
Spiritual h0e;I was trying to protect Johnny
Gage Dutcher;AQUAMANNNNN ~Johnny voice~
whalemamma;I know very little but bad behavior on BOTH due to drugs Johnny is not a saint and she is not a evil
Brooklynn;Nobody feeels sorry for you Amber
jesstwardowski;whoever is team amber need to go to thearpy
user5360784251605;Depp had best PR ever
Matthew;Team Johnny lol they’re both bipolar and both are in the wrong. Please dismiss and stop wasting $
Ybnblazee;AMBER HEARD DISS ON MY ACCOUNT CHECK IT OUT
user1018492669676;Like you let poor Johnny grieve his mama!
Katrina Lyons;Anyone who says team amber clearly hasn’t been watching the trial
Susan Lawson;We saw the video of your hounding Johnny when his mom passed so what’s your point ?
Samuel Jimenez;justice foe Amber said NO ONE she is Crazy
bella grace;I POSTED A VIDEO! THEY CLOSED PIRATES RIDE AT DISNEY BECAUSE OF JOHNNY DEPP
Joy <3;It‘s hard to stay on the script amber right?
user559779805431;Amber Heard a zipper and Ran to it.
Karaoke Zachary;Y’all leave amber alone !
Masiel Cancho Riva;a que hora el equipo de Johnny!!!!!!!
Ariel Wright;willsill johnny speak get to again?
amongus;HAHAHAHAHAHAHA SOMEONE SAID TEAM AMBER LMAO HAHAHA
Zz_zz;nothing compared to what johnny has gone through!
Suzann Alghamdi;is she going to be cross examined by Depp’s team today?
Bimbo Barb;Amber Heard is a queen!!
Hejdu;Justice for johnny depp
Colton Wilding;That means be quite Amber
Kaitlyn Maxey;Seriously what does her mom passing have to do with Johnny
Ranesia Pierce;Sounds like she tried to use Johnny to advance her acting career…writing that op-ed
Loner Wolf499;@kalligrover14 no she made johnny lose everything
undefined;you can never have those movies without depp
loveleenrodrigue5;Removed Amber Heard from Aquaman
Tami;No one knew who she was till she used Johnny Depp
Doris;Difamo y Miente continuamente, justícia para Johnny Depp
Ariel Wright;Will johnny speak again?
Funkypati;Johnny we all stay With you
Bimbo Barb;Amber Heard is a queen
Amy Louise;Elaine stutters as much as Amber
B0nes;Mr.Depp is the legend
Merche Mateos G;cuando comienzan los abogado de Johnny?
$TiCKi;She wanted to match Johnny and wear gray
dominic caraballo;amber need me in her life tbh
Edie Mooney;No article no case no Amber problems
xkqx;@crysycrysss and what does it make Amber. Goddess of narcissism?
Tori Marie Clark;Johnny better win this. Amber is ridiculous
Any one for fun;Who’s the lady next to Johnny
2008_aiden_bmx;my dog stepped on a bee 123 I got beat by Johnny   say out loud
Lila;JOHNNY POPPED OFF TODAY
just_a_mom3;Amber career is over after all this even if she wins the public is mainly team Johnny
Savanah;I believe they are both in fault here, however Amber was the abuser and Johnny probably had enough
A fellow Content Creator;justice for Johnny Depp
Ethan Branham820;grade A acting from Amber must I say
-;Notice how Johnny doesn’t look at her
Unoriginal Name;All 148k loves you Amber. Everyone of them
Mia Horta720;Someone said team amber plsss I stand for Johnny
iphoneb28;TEAM AMBER TEAM AMBER TEAM AMBERRRRERRERRRRRR
Welcome <3;Justice for Johnny depp
Larryhitchen;Johnny just had a quick snort
Joanna;Johnny does not even look at her
Nikki Goetz;justice for johnny!!!!
Jacobus Van der Merw;johnny rolling a joint
user804633105809;You weird if you team amber
corrections;justice for Amber Heard
Wolf;Team Johnny all the way
fugazi;johnny’s lawyer loool
pugnuggs;she is counter suing Johnny for 100k
xluszi;AHHH DONT HIT ME AMBER HEARD
LauraLouXx;people on team amber are blind bats
sav;Anyone who is team Amber hasn’t been watching all of this
Mandi;Johnnys drawing her dog stepping on a bee hahah
1deringwhy;Easier to ask who is for Amber. Much shorter list
Anna Mejia;trying to help Johnny?? this whole thing started because of her..
-;Notice how Johnny doesn’t look at her
iphoneb28;TEAM AMBER TEAM AMBER TEAM AMBERRRRERRERRRRRR
Melanie;I just wanna hug Johnny
Kelley Cuff;Johnny is looking so handsome and strong
Waterfall0807;When is the cross of Amber??? Tomorrow ???
iphoneb28;TEAM AMBER TEAM AMBER TEAM AMBERRRRERRERRRRRR
Dyevtte72;Love you Johnny Depp!!!
-;Notice how Johnny doesn’t look at her
Alma;We believe in you Johnny
aaptwak;Johnny nie dood nie hy is net uitgepaas
mjfrancis33;Sign the petition to remote Amber Heard from Aquaman 2 @Change.org
user8557768275865;Why are y’all saying team amber ? She literally killt her boyfriend for NO reason
KatieHames92;I want to buy Johnnys journal
Pati Gabryel;johnny Depp dosent deserve this
dangie418;Anyone on here pro amber ?
iphoneb28;TEAM AMBER TEAM AMBER TEAM AMBERRRRERRERRRRRR
Tannis Teflon Tan Henriksen;She’s got no idea what she’s lost. I’d love to find a Johnny deep
Welcome <3;Justice for Johnny depp
Erick Badia;Mans Johnny just took a hit lol
Nicole Brachmann;#JUSTICEFORJOHNNYDEPP
yazmin <3;I have a project due in a couple of days and I have to play Johnny
Rich;Basically johnny depp got beat out of the harry potter series. He had a contract too
user9634546220371;Johnny should date a latí
Karmic.Ways;TEAM JOHNNY FROM ALIENS OF MARS
Goddess of truth 2.0;Definitely team Johnny
dom;WE LIVE YOU AMBER!!!!!!!
elle;You can tell the difference here she’s not lying compared to when she’s talking about Johnny
Angie.xx<3;Why are people supporting Amber
finja_high;we Love Johnny Depp Not Amber
Tabatha Sadler;I love it how the whole time in that room Johnny is drawing
Victory;Justice for Jonny depp
Capri Diana;Amber sabotaged everybody
<3;who tf just said blue hearts for amber-
Natasha Vili;Team #JOHNNYYY lasssssskkkkooooo
Skittles;Do I see people supporting amber????????
